delta,theta,alpha,beta,gamma
0.008809129124686085,0.0015865834943486078,0.0018707218657588167,0.00264167280879941,0.00044355545933806893
0.019947421857472575,0.004122703713813319,0.0020129131545662342,0.004459354610648287,0.0007314152394227819
0.0076158660067293365,0.00202224030684023,0.002313893194756598,0.0016016263362888805,0.0002735116031637097
0.004432858951106167,0.0026718985415595193,0.001608027292026782,0.0012623696471205663,0.00020792347687597195
0.0047018206537468455,0.0031213940509047483,0.0035414062480696646,0.00171259544277757,0.0003365076088601547
0.003770551973674209,0.001896596950126081,0.0026896793761198973,0.0014968064631863574,0.0002866832400517779
0.004797418290882517,0.0020205999769885522,0.003352657397563637,0.0020934344740395285,0.0008659651968901023
0.005179885202027978,0.0027306132626345853,0.003990466240419761,0.0034838612463795565,0.000869531635579281
0.009054435104978394,0.008312473119167616,0.008140292715719146,0.007112808075911728,0.002696864630344381
0.007499509920649483,0.00656776921981632,0.0030757785832724307,0.0020692943162354603,0.0007992795614226809
0.00765561047025457,0.009345043334206257,0.006370672004857205,0.0033974013742532915,0.0013604527465403053
0.012702225355744598,0.0072887694461541246,0.006574309058351277,0.0028932218386477017,0.0013794758884287394
0.007582026488613995,0.0025826651026089843,0.001951184588353072,0.0015235804906668412,0.0006657613433196324
0.005592060722515745,0.0009563181883014617,0.0013395877915151927,0.0006186687167745748,0.000447991259931688
0.002157896291041503,0.0006254995462646169,0.001026013106136344,0.0006868244783191735,0.00039276772694234516
0.0031147436228903427,0.0011630908848266359,0.0006574730496507318,0.0007673953419258227,0.0003911410270460952
0.0015700297689297876,0.0009123485168556062,0.0008024828287389949,0.0008701027396288366,0.0005037396161855289
0.0022173822031691832,0.0006587530433163547,0.0006961007533171285,0.0012103687963018269,0.0005250365416174773
0.003110797265517793,0.0005519485485067966,0.0007516203656209833,0.0008604918532272988,0.0002315806141706389
0.0027725263689649046,0.0007295274603164372,0.0006136619362766121,0.0004324154830937186,0.0003208526891906175
0.002050037581089539,0.00123618366263907,0.0005360576280001273,0.0007950510905458891,0.00028579228684590016
0.0021517289661184607,0.0009465419370392152,0.0005245957379463399,0.000775707277933524,0.00031641930077526794
0.00153581123202016,0.000611747478607238,0.0004716982496164518,0.00038307773125053056,0.0002017689358535229
0.0014856636701365724,0.0003814039068321907,0.0002919267908094763,0.0006187717193191233,0.00026918334307624606
0.0020554344334912647,0.0006397630176906393,0.0005886580065047047,0.0004934647546322125,0.00026221771768244323
0.0024861034098762652,0.0004805253276199384,0.000567243990902046,0.0005655962644281671,0.0002712738241449063
0.002808720970545313,0.0007086248175945531,0.0006528096833580763,0.0007516288360801892,0.00023396252949545933
0.003276974258235723,0.0012289091265157866,0.0008629538686285943,0.000960775255577012,0.00026447438296502824
0.004298862451302772,0.0009303370501519291,0.0007647073459983943,0.0008754045872476612,0.00025806829262501083
0.004530996842235142,0.0012570206934770733,0.0008610562917640019,0.0006910727740524049,0.00027652523688005584
0.0033827509117090888,0.0007469222702949296,0.0011899304569836348,0.0014612678084397223,0.0003580995634592478
0.003049774003390823,0.0009170536018306083,0.0008500894248560315,0.0010605097460244673,0.0003536740888008236
0.0037690552148180066,0.0014245485083858812,0.0024054651514731533,0.007114908887402625,0.0220207226573161
0.002323648929560152,0.0007527882594015101,0.0012832619419942295,0.0018158460740724035,0.009653781556728535
0.0016809970564006774,0.0006059164101620487,0.0007911668625281525,0.0006777943473890469,0.00023607048877474608
0.001092212194732229,0.0009781703101916514,0.0008794978535709121,0.000708297665876545,0.0002222023874005096
