delta,theta,alpha,beta,gamma
0.004623122456932159,0.0009467057518030327,0.0011702475474423284,0.0011785093939324922,0.0003001498952295497
0.004551974949732522,0.001165653586729904,0.0011569135129097597,0.00151734426371937,0.0009935062799772284
0.0039370213548562,0.0007482938031613419,0.0007979464024349638,0.0013516255387957903,0.0005021569666785628
0.005320619444157026,0.0011869309471065179,0.0014533580904607995,0.001328197070661761,0.0003356535514329422
0.003339331113453088,0.0017138593548839112,0.001876451683681562,0.0011231844927977418,0.00027728003043211394
0.003009113228814011,0.0018368326309425335,0.0016875894038570335,0.0015628560277604845,0.0003275874177489349
0.0046202011997179574,0.001951438093301856,0.0011518180517185268,0.0011112440543496317,0.0003754614925650927
0.005855461979947416,0.0011230202698563915,0.0012579048795066767,0.0015784701693716478,0.0011265620575827827
0.005757630722756131,0.0017352460714456642,0.0009975385951504726,0.0017756418413903095,0.0008367942604413643
0.005836550069412925,0.0017850622047560843,0.0014007852444746156,0.001683305777595121,0.0003321737688768912
0.0037510017911220285,0.001511397464216381,0.0015315708429791133,0.0013049382236466358,0.00023780631836405985
0.004852509223428497,0.0016462016587574517,0.0013489607918636978,0.0012108530034277624,0.0003228298649658978
0.0061875583293846004,0.0013051810690312437,0.0013426777643352665,0.0015052919588553462,0.0002916546360017637
0.0043334836930531435,0.0012509343194835945,0.0010577332493473808,0.0010358671670208683,0.0007602133434759629
0.007721308206902295,0.002447168912020549,0.0018722955029753293,0.0027987451143903423,0.003524943952188632
0.009755784526504278,0.0037843140409070993,0.002368930373704185,0.006073436347235911,0.009420365193657618
0.007545151017937157,0.0018374496687393362,0.0010447468807471762,0.0011852945643680468,0.0010149578706140786
0.007984488393859212,0.001383866184399721,0.0011364760350284202,0.0010607130878619805,0.0004729556457496282
0.010142192006196435,0.003116279725000984,0.0024531501001324382,0.0030382797953425493,0.0029100306973210872
0.00929994322542903,0.0027053858614473642,0.0019638854718078275,0.004689899263734102,0.008603700423060977
0.002601089277428267,0.0012206924346167046,0.0006905462261707089,0.0013584956722975663,0.0007812992828483724
0.0032626407166801005,0.0007075610695372278,0.0006442922393142706,0.0011949656474786066,0.0009356468545168714
0.005750875441611607,0.0008093762852304212,0.0011347054363363665,0.001297134916461545,0.0004805126963446094
0.003993198996046826,0.0007416515486352092,0.0010245529920485641,0.0012335814940566897,0.00026428334814584904
0.004936765487507608,0.0009449729039809932,0.0011698391301043975,0.0009820140520340945,0.0003770935602579357
0.014744711794909784,0.004099865268521748,0.0013402074883173613,0.0015565450227976783,0.0007312116824633575
0.012286516974371497,0.002037006743244717,0.0013081513114400506,0.0019264625493200965,0.00117867667576325
0.008581808717543602,0.001977746291408728,0.0008763693698272085,0.0015186980087200995,0.0005530085766925115
0.0063741267700443945,0.0010103161348488845,0.001513440714987185,0.0011677469700142834,0.0009493618865793436
0.0024137602238575757,0.0006784179480408268,0.001013958902956729,0.0014605760324865216,0.0006898947902630735
0.005919855387984032,0.0010827993792961795,0.0012433279827728033,0.0012054197390171072,0.0006685816508979515
0.0032434965971097226,0.0008497018332106203,0.0017168952691509112,0.0017000254278322165,0.0010885149940552433
0.0031583682597666834,0.0007103057172702099,0.0012061226329378775,0.0011781313492927542,0.0011858651354937546
0.0036206737677788887,0.001116181556561333,0.0011459189472371996,0.0012545776191306794,0.0007836334355497373
0.005252648777971448,0.0008603845531782986,0.002128294646397303,0.0011513201339535953,0.0009551613368073247
0.002905956937148837,0.0012221222674575203,0.001581835030921602,0.0013198656340034642,0.0011238447644408604
0.005016450684228276,0.001039596499895076,0.002366209709171079,0.0012075423259227008,0.0011957077225262576
0.005522525146633355,0.0011265703778608714,0.002216232069690845,0.0015534854267274531,0.0005857388150457592
0.004661409773894469,0.0011133864066899671,0.0010442052389973196,0.0022943854850418135,0.000403702182394144
0.003970740544927919,0.0009311736504997296,0.0014820406383432609,0.0010144302429749663,0.000810820452894265
0.0043666687361848516,0.001157473191078799,0.0011066010755222894,0.0010634245251585257,0.0006438267189511701
0.005819023100764538,0.0009328844539183081,0.0016509220217844616,0.0016101756239986058,0.001100488281915713
0.005654162455530469,0.0014014803891750185,0.0011267705303184795,0.0009820791625665113,0.0006656829697638377
0.006002474936298319,0.0011559650830629635,0.0014333059815957573,0.0015309574695959488,0.0007840937260004997
0.005889493173465846,0.0010517403122252257,0.0009271924806907892,0.001498115135728833,0.0005242774385472976
0.006024338699326139,0.0009639264397526776,0.0011286860489357357,0.0013798244973451735,0.0004110427650926756
0.009698899034752373,0.001417031198751314,0.0015132369351841422,0.001156108150750063,0.0007604976312535385
0.004881796844205766,0.0006194715617223501,0.00169273126029909,0.0011241140100924384,0.0007430799281231998
0.004982992726378151,0.0008791232311485832,0.0008650573535978018,0.0014478830949928275,0.000661178851481456
0.005078621308691142,0.001033504299698599,0.00121310749527692,0.0013311930773334197,0.0003548056641602938
0.004369473461312847,0.0010240860887735799,0.0009837295140112377,0.0014936547138614537,0.0003718692629138939
